phase,evaluation,round,region_id,score,tip_rmse_mm,wrist_rmse_mm,combined_rmse_mm,stage
primary,19610,-1,0,608.9496374785352,615.5806642721183,254.33561078853484,470.9703584838856,feasibility_cma
primary,19628,-1,0,607.6039468335389,614.2203200167515,217.3302797100372,460.70546556358744,initial_pool_backtrack
primary,19634,-1,0,592.6365385273749,599.0899273200891,225.72451643621602,452.6921129955509,initial_pool_backtrack
primary,19636,-1,0,554.94989582988,560.992903989933,198.80466310266368,420.8540913418936,initial_pool_backtrack
primary,19665,-1,0,541.6377329564863,547.535781167044,177.70109239295732,407.04613368502555,initial_pool_backtrack
primary,19704,-1,0,458.08870916052274,463.0769681516259,163.41639568803276,347.2356525561349,initial_pool_backtrack
primary,19758,-1,0,440.63087983123074,445.4290355249255,135.5533993172669,329.2276945786394,initial_pool_backtrack
primary,19901,-1,0,430.8202880461743,435.5116133995851,133.59810207775908,322.117073658545,initial_pool_backtrack
primary,20244,-1,0,380.1813234984784,384.3212266815674,134.5005674117106,287.91770344327284,initial_sobol_pool
primary,21105,-1,0,297.16728486138106,300.4032244314438,62.76844009313568,217.0045786619881,initial_pool_backtrack
primary,22510,-1,0,261.33705924696034,264.1828332410107,92.40024994918282,197.9019650861496,initial_sobol_pool
primary,24934,-1,0,253.65923092459633,256.4213988497886,97.02954127931349,193.8642123613283,initial_pool_backtrack
primary,27451,0,0,253.65923092459605,256.4213988497883,97.02954127931356,193.86421236132807,cmaes
primary,27468,0,0,243.78901882640756,246.4437071886717,95.60947147468572,186.9166550211143,cmaes_backtrack
primary,27588,0,0,240.41939138625787,243.03738691143857,99.3582913764588,185.65996001021543,cmaes_backtrack
primary,27881,0,0,227.280338746743,229.7552593692837,97.02954127931356,176.35505534109427,cmaes
primary,30034,0,0,214.06371046658558,216.39471144314462,96.62638046647206,167.5758463243036,cmaes_backtrack
primary,31544,0,0,213.30186497147335,215.6245699945089,87.76071892809848,164.61454822113015,cmaes
primary,31691,0,0,204.6049591815951,206.83296110971997,101.12353960192328,162.79718066206902,cmaes
primary,32746,0,0,201.6580466387821,203.85395879325895,100.28367949065638,160.64440993677374,split_probe
primary,32759,0,0,199.1185020984173,201.2867604259531,103.23356210783763,159.95863257143677,split_probe
primary,32761,0,0,194.43384004102612,196.55108574336342,107.18850234991176,158.30619751436143,split_probe
primary,33117,1,1,193.95195618333378,196.06395451450098,104.9777058312358,157.25996467863934,cmaes_backtrack
primary,33470,1,1,191.02993737237938,193.11011700486566,107.61536564674479,156.32111855554817,cmaes_backtrack
primary,33484,1,1,187.4688325383966,189.51023428168554,110.3056003129015,155.05072453537412,cmaes_backtrack
primary,34343,1,1,185.06071958956474,187.07589870210901,112.26044140417024,154.2721598012112,cmaes_backtrack
