frame,phase,tip_error_x_mm,tip_error_y_mm,tip_error_z_mm,tip_error_norm_mm,wrist_error_x_mm,wrist_error_y_mm,wrist_error_z_mm,wrist_error_norm_mm
0,0.0,-43.877625468554925,-73.03100787945914,100.8486137241926,132.01975995562108,13.121260115882677,-41.739988635923375,-53.60769758574787,69.19667158758912
1,0.013157894736842105,-43.26035143541469,-72.99961306320753,101.22558617637677,132.0871712561242,11.299555013212427,-49.662037736219254,-47.08365391412684,69.36042388506252
2,0.02631578947368421,-40.62577578930319,-72.35470435606899,100.26552350384219,130.14926855129235,10.153234587918064,-56.308471650622266,-40.340769410407475,70.00792690010107
3,0.039473684210526314,-36.11411019488145,-71.04956539134741,97.5531599789883,125.9717774715967,9.656634143225233,-61.5667247999816,-33.69327384928876,70.84454028544428
4,0.05263157894736842,-30.09386627116521,-69.10962536786417,92.78048335061233,119.54078465698039,9.711811302939736,-65.39520739359884,-27.394156562386158,71.56320452998341
5,0.06578947368421052,-23.09228210657284,-66.63170857731865,85.81214760806228,111.07098071922356,10.180341536378052,-67.81872720287853,-21.609031402586467,71.90249892301192
6,0.07894736842105263,-15.713163197959886,-63.764307847937516,76.71234839448647,100.98304238439906,10.91613740139482,-68.9159885281369,-16.40903759559916,71.67867217931854
7,0.09210526315789473,-8.560819480946407,-60.67748100244518,65.73400342932467,89.86658743845743,11.791771768057941,-68.80353457091519,-11.780009884209363,70.79365002423
8,0.10526315789473684,-2.1814435743130502,-57.5314651576154,53.28021431226125,78.4436703399982,12.714755465276,-67.62007700660246,-7.641854064949499,69.22815723728748
9,0.11842105263157894,2.9747992881830214,-54.45073786621339,39.850943367228126,67.54132048041467,13.633882613556409,-65.51365909272525,-3.8717676548349687,67.0291941441271
10,0.13157894736842105,6.573341889777055,-51.50706474004943,25.986193406439668,58.06435041824225,14.537902169867351,-62.632507623970284,-0.3265341448807817,64.29843104862748
11,0.14473684210526316,8.401278978020514,-48.71246924690905,12.213446218595834,50.918114823038394,15.449366041530368,-59.1193183031443,3.1387828232492154,61.18519972448573
12,0.15789473684210525,8.364841331540902,-46.02148937802414,-0.9962470401407586,46.7861150688795,16.416115970085826,-55.10819663885244,6.656698158058248,57.88535074349321
13,0.17105263157894735,6.482092665147206,-43.34135851011351,-13.261445738211023,45.78598940603183,17.50212133145436,-50.72338831899326,10.337614004396244,54.644785999802586
14,0.18421052631578946,2.873262197281008,-40.548471912872515,-24.311952522934632,47.365654704656656,18.77866677855809,-46.079069656744686,14.263998029151736,51.76273395201315
15,0.19736842105263158,-2.250120572586866,-37.50934583169811,-33.99866134291187,50.67467849353479,20.31637576730469,-41.279671907896585,18.487736170554967,49.583896840143154
16,0.21052631578947367,-8.597083617670648,-34.10405641309333,-42.291701555628094,55.00531366174535,22.178256045411203,-36.42039799060858,23.030015238323273,48.463409216516595
17,0.22368421052631576,-15.810539928927597,-30.24980495039739,-49.267338338466345,59.935753097280895,24.413813801639122,-31.58772740872952,27.88317808712563,48.695897644746935
18,0.23684210526315788,-23.48297135108089,-25.92184287314265,-55.08473411143484,65.25120545662782,27.05424125907676,-26.859797357137325,33.014057077683134,50.431226922407234
19,0.25,-31.175427830271303,-21.168658810224684,-59.9546766764696,70.81371810323311,30.10868803762122,-22.30660930497477,38.36831645367769,53.630640696537796
20,0.2631578947368421,-38.44041786273152,-16.118351452827,-64.10368372496788,76.4640389080316,33.5616475630474,-17.99005453374768,43.87533432987257,58.09536308373944
21,0.2763157894736842,-44.84834954757315,-10.973827992653085,-67.73822677058229,81.97723296120985,37.371508222954034,-13.963785939247472,49.45315507223705,63.5392122331885
22,0.2894736842105263,-50.01584839433252,-5.996121475418121,-71.01465154903036,87.06675196642531,41.47032529952463,-10.272985310211268,55.0130690735086,69.65457541697342
23,0.3026315789473684,-53.63293737499282,-1.4775818754482515,-74.02006240214536,91.42015564242958,45.764858897795705,-6.954078394711587,60.46344925689729,76.14860610868946
24,0.3157894736842105,-55.48532827577742,2.290718280993751,-76.7675931094829,94.74773029438114,50.13889364941525,-4.034428531411734,65.71260013436506,82.75464389616693
25,0.3289473684210526,-55.46843452702302,5.051374125299054,-79.20637161209402,96.82929780487677,54.45681070204495,-1.5319954989349114,70.67054840891134,89.23125940197973
26,0.3421052631578947,-53.59118574280666,6.606998897058691,-81.24309547142082,97.55054169774833,58.56832841858065,0.545107096102079,75.24990121092048,95.35771530267614
27,0.35526315789473684,-49.96974064568701,6.836718377141281,-82.76972561049632,96.92545164198316,62.314273787220316,2.1992628420097162,79.36608658122572,100.93008061968203
28,0.3684210526315789,-44.812936577873586,5.702017063107853,-83.69116823064508,95.10480494239305,65.53319664662965,3.4443224630445215,82.93743738767947,105.75954680495995
29,0.381578947368421,-38.40219547466677,3.2438973522553525,-83.94785036700927,92.37149489181316,68.06859017856993,4.306953477441056,85.88565807467606,109.67328334683484
30,0.39473684210526316,-31.068569700756598,-0.4251675289177683,-83.53001210829979,89.12182512432702,69.77642201932244,4.828323152374352,88.1372060766146,112.51768247379596
31,0.40789473684210525,-23.169037593369296,-5.130972462869337,-82.48243988697908,85.82822421049383,70.53259690828926,5.065912691889629,89.62601344233792,114.16362373188407
32,0.42105263157894735,-15.063552060601069,-10.646589698794926,-80.89974214608907,82.97607337178968,70.23986016321828,5.095078514447856,90.29775469968331,114.51324065199196
33,0.43421052631578944,-7.09404536061254,-16.699838605211056,-78.91313059022002,80.97216971631454,68.83353246150233,5.0098040494109455,90.1155194393804,113.50753354545034
34,0.4473684210526315,0.4333497185689339,-22.979983187526358,-76.6703531960996,80.04130482752163,66.28539728390322,4.921974923056162,89.06627430385247,111.13406745277152
35,0.4605263157894737,7.26139851020605,-29.145572097584818,-74.31128123140974,80.15209791061744,62.605131969191774,4.958526847057705,87.16695079993238,107.43401160308007
36,0.47368421052631576,13.18872929333429,-34.83578579210999,-71.94277982021606,81.01381437993592,57.838971203284814,5.256020447888268,84.46851066035215,102.5080564345118
37,0.48684210526315785,18.069777084682755,-39.687231775102646,-69.61759012334124,82.14744100970148,52.065843195977294,5.95261603373806,81.05615047836567,96.52142350651833
38,0.5,21.80806390743703,-43.356792252290106,-67.32236805419006,82.99219436924736,45.39190897244606,7.178005854883288,77.0441724862714,89.70927311214771
39,0.513157894736842,24.34482748868254,-45.5490901639762,-64.97903912481067,83.00401054047583,37.944984224302345,9.042473875186033,72.5651094363383,82.38496992215103
40,0.5263157894736842,25.646422896519198,-46.04494437957911,-62.46092899427774,81.72663923797333,29.870384293893295,11.626695039587233,67.75429438298774,74.95374775649977
41,0.5394736842105263,25.694351673426013,-44.725639611374476,-59.62122933372822,78.8370061191396,21.329115746487616,14.97397343691587,62.732698522276834,67.93042413310403
42,0.5526315789473684,24.480865811791546,-41.58772351337427,-56.32759757061889,74.17310689190118,12.49821803549682,19.08626566362615,57.59182724806424,61.94602131546632
43,0.5657894736842105,22.01118382031018,-36.74470849366017,-52.4946295376689,67.75213609734122,3.571959151185183,23.92459877835326,52.3842636580209,57.69970881968094
44,0.5789473684210527,18.3112855588854,-30.41510937102933,-48.10648194156674,59.78808963050257,-5.237934499790072,29.413556615099267,47.122093940306925,55.7950267308194
45,0.5921052631578947,13.438809311602881,-22.89962720019855,-43.224756001660005,50.72843436402054,-13.704581024004028,35.448632159271654,41.783472785748486,56.482560680658096
46,0.6052631578947368,7.4940366604772635,-14.552728375642118,-37.980636925744065,41.357844116068115,-21.59158328232806,41.90468649596175,36.3257037484303,59.512653879500874
47,0.6184210526315789,0.6281095941202466,-5.754515102854356,-32.55381719241409,33.06448214517082,-28.662005809871005,48.64369857912065,30.701923518021996,64.26762868044764
48,0.631578947368421,-6.953841764422009,3.112426820262584,-27.143056909614785,28.191996282539066,-34.69013048080697,55.520469160095374,24.87793419316476,70.034557600173
49,0.6447368421052632,-14.996208245050866,11.678938670689917,-21.934189016966457,29.02399900142432,-39.47508979766175,62.38581210808755,18.845836613813347,76.19342376211749
50,0.6578947368421052,-23.203542608714542,19.59835976496086,-17.07120129061741,34.84144096583902,-42.85514962156006,69.08773757218404,12.631768879639026,82.27539679003613
51,0.6710526315789473,-31.257507086217743,26.551196103795064,-12.635011108189815,42.91434806089001,-44.72100867503889,75.47186405237157,6.296190414301165,87.95233307983193
52,0.6842105263157894,-38.83794846209548,32.24869734845538,-8.632899788963982,51.21417460218365,-45.02614943685268,81.38252327199945,-0.07331492389553773,93.00792763149487
53,0.6973684210526315,-45.6449670199072,36.43825491292867,-4.99951071693971,58.619148260246675,-43.792319207952914,86.66565862112043,-6.375066685568868,97.31055996699062
54,0.7105263157894737,-51.41869902090036,38.912150541913945,-1.6082072025901084,64.50290225412324,-41.10886552375925,91.17381507164036,-12.509119034937768,100.79226874318506
55,0.7236842105263157,-55.95431249690057,39.51938564354262,1.7100713790349573,68.5243845121227,-37.12582876217857,94.77261174232875,-18.392260050061594,103.43331343184306
56,0.7368421052631579,-59.11113477934714,38.1787639971505,5.144106282428311,70.55640371147878,-32.04202256499022,97.34745043148202,-23.968946116838424,105.25078476437643
57,0.75,-60.81633191716162,34.89058382663811,8.87932031454011,70.67405037826994,-26.09030565579107,98.80907536832774,-29.21619170055226,106.28980798665455
58,0.763157894736842,-61.06462804202789,29.74437480413083,13.076914170088457,69.17096438977623,-19.522524491399025,99.0969505163016,-34.14204650061288,106.61619906654718
59,0.7763157894736842,-59.91595154797682,22.9208741215525,17.8566929545604,66.58940759361813,-12.59617068466946,98.180048447323,-38.778694762794544,106.3097953931904
60,0.7894736842105263,-57.49268660836094,14.687425140162546,23.28411591192105,63.7438587198395,-5.5639187040909235,96.05527375494422,-43.17203114632997,105.45803469049996
61,0.8026315789473684,-53.97758003443471,5.386751547810846,29.361563672046145,61.6822313140443,1.3337482569025951,92.74417356590664,-47.36973627426107,104.14966408745086
62,0.8157894736842105,-49.61243676964364,-4.5806343841053305,36.023760818563346,61.48241567388025,7.873374667083908,88.28875249756473,-51.40956728985603,102.46871451889477
63,0.8289473684210525,-44.696565661794864,-14.780206629214945,43.13772124948014,63.85217681926967,13.851823468349693,82.74715771583837,-55.30906271603996,100.48909165663204
64,0.8421052631578947,-39.582550937692304,-24.773252176176268,50.50840372015398,68.78656270288181,19.089154180465556,76.18983348398898,-59.05737276044218,98.27034044415116
65,0.8552631578947368,-34.66555419049456,-34.152054352406296,57.89213268821379,75.6277891453504,23.43213421767365,68.6965638269548,-62.60961199208131,95.85534053679493
66,0.8684210526315789,-30.361594541894476,-42.5780539148892,65.02002235641567,83.44052016577079,26.75917916574363,60.35469244665448,-65.88404510385887,93.27084200971882
67,0.881578947368421,-27.07113187838422,-49.81779686109942,71.63210596192698,91.35544685354766,28.987126093829914,51.258749164928375,-68.76253895137677,90.53176021801548
68,0.894736842105263,-25.127884706056477,-55.76847754862689,77.51886475633648,98.74567368246447,30.079690407267634,41.511689003660706,-71.0949638231292,87.64988294313783
69,0.9078947368421052,-24.73923336960752,-60.46375148985405,82.56100518566888,105.28159615626451,30.05670891032213,31.227880650223206,-72.7084551162854,84.64694752807873
70,0.9210526315789473,-25.93149744233,-64.05353866040625,86.75354282740125,110.91201723721136,29.00234330627211,20.53774662946872,-73.42242559653684,81.57075170886993
71,0.9342105263157894,-28.516515732965672,-66.75919593678546,90.2006901114571,115.78491442436578,27.069451880556016,9.59344708763804,-73.06965580595975,78.51091676791499
72,0.9473684210526315,-32.092417593683706,-68.81459367073882,93.07582675163451,120.11861260677526,24.47668752454885,-1.4258010605980758,-71.52241885698267,75.60818434529742
73,0.9605263157894737,-36.083109797139116,-70.4092868340822,95.55335996639133,124.0560481636555,21.495126510213822,-12.311064582527848,-68.72038495158331,73.04857344766609
