phase,round,split,parent_region_id,child_region_ids,variable,split_value_normalized,split_value_absolute,local_sensitivity,split_seed_count,reason
primary,0,True,0,"[1, 2]",L2,0.30687795384209854,114.33850430631351,802.6346781298621,3148,
primary,1,True,2,"[3, 4]",B_CenterX,0.3902367062766849,43.89941663620766,739.0621322910818,3196,
primary,1,True,1,"[5, 6]",L5,0.5256810408727894,226.16344980946945,756.7764468418908,4489,
primary,2,True,3,"[7, 8]",B_Y_C1s,0.4480756987184048,-18.692748461374265,424.0225430663237,3425,
primary,2,True,5,"[9, 10]",L5,0.4655934882664153,211.74243718393967,1444.7572887686456,324,
primary,2,True,6,"[11, 12]",B_Z_C1s,0.4114107981232528,-31.892112675628994,654.0328221036384,3924,
primary,2,True,4,"[13, 14]",L5,0.5242596109352493,225.82230662445983,1018.9045978247256,3504,
primary,3,True,8,"[15, 16]",B_CenterX,0.3555057335281992,29.31240808184367,956.3107044510621,238,
primary,3,True,12,"[17, 18]",B_CenterX,0.38845701701850127,43.15194714777053,497.29033737579766,3334,
primary,3,True,7,"[19, 20]",B_CenterX,0.35577070874468053,29.423697672765826,516.7538539892583,51,
primary,3,True,10,"[21, 22]",B_CenterX,0.38786407835111497,42.90291290746828,753.2428823348454,6618,
primary,3,True,9,"[23, 24]",L3_C0,0.559243495506459,261.32765838232524,1185.926234910541,2268,
primary,3,True,11,"[25, 26]",B_Z_C0,0.5460705390715332,-5.392946092846678,476.8020456493669,3723,
primary,3,True,13,"[27, 28]",B_CenterX,0.44429576893650435,66.60422295333183,750.5683189586155,240,
primary,3,True,14,"[29, 30]",B_Z_C1s,0.40964408086713666,-32.5281308878308,523.9113637827255,3352,
primary,4,False,,[],,,,,,insufficient_new_samples
primary,4,False,,[],,,,,,insufficient_new_samples
primary,4,True,16,"[31, 32]",B_Z_C1s,0.41076914861844044,-32.12310649736145,351.4959309596375,5681,
primary,4,True,17,"[33, 34]",B_CenterX,0.3546110886737682,28.936657242982648,846.9326479817564,107,
primary,4,True,20,"[35, 36]",L5,0.5250090090321378,226.00216216771307,654.8221048493365,5025,
primary,4,True,23,"[37, 38]",L31,0.6264925839247979,97.70896174947171,381.8879418688813,3905,
primary,4,True,25,"[39, 40]",B_CenterX,0.3774452515814864,38.527005664224276,535.4524647943985,3348,
primary,4,True,21,"[41, 42]",B_Y_C0,0.5883274790048796,-6.451229408975294,503.90472793338034,6154,
primary,4,True,22,"[43, 44]",B_CenterX,0.4365299957037777,63.342598195586646,1390.9557254482647,202,
primary,4,True,24,"[45, 46]",L31,0.6264925839247979,97.70896174947171,472.4434962663611,2795,
primary,4,True,18,"[47, 48]",B_CenterX,0.4426383278316889,65.90809768930933,1369.6300124248685,78,
primary,4,True,27,"[49, 50]",L5,0.46605303502893064,211.85272840694336,1464.1421385211431,369,
primary,5,False,,[],,,,,,insufficient_new_samples
primary,5,False,,[],,,,,,insufficient_new_samples
primary,5,False,,[],,,,,,insufficient_new_samples
primary,5,False,,[],,,,,,insufficient_new_samples
primary,5,False,,[],,,,,,insufficient_new_samples
primary,5,False,,[],,,,,,insufficient_new_samples
primary,5,False,,[],,,,,,insufficient_new_samples
primary,5,True,45,"[51, 52]",B_CenterX,0.37612036726837506,37.970554252717534,345.4390549810694,1911,
primary,5,True,46,"[53, 54]",L3_C0,0.5921126959104697,273.1605705277691,1129.2100384656399,33,
primary,5,True,36,"[55, 56]",B_Z_C0,0.5441996353893189,-5.580036461068104,633.718568518402,2731,
primary,5,True,31,"[57, 58]",B_Z_C0,0.5315303907774362,-6.846960922256372,377.3754924851364,5170,
primary,5,True,32,"[59, 60]",L5,0.5195241843525197,224.68580424460472,822.0958748683302,4632,
primary,6,False,,[],,,,,,insufficient_new_samples
primary,6,False,,[],,,,,,insufficient_new_samples
primary,6,False,,[],,,,,,insufficient_new_samples
primary,6,False,,[],,,,,,insufficient_new_samples
primary,6,True,57,"[61, 62]",B_Z_C2s,0.48695472544006996,-2.0872439295888086,307.89808251977007,4363,
primary,6,False,,[],B_Z_C1s,,,,,no_interior_feasible_split_seed
primary,6,True,60,"[63, 64]",L7,0.8603793076174128,286.0379307617413,265.85199837642267,4375,
primary,6,True,15,"[65, 66]",B_Z_C1c,0.5249904800765627,8.996572827562574,1782.6076543817803,479,
primary,6,True,58,"[67, 68]",B_Z_C0,0.5695784304752454,-3.042156952475466,646.0914490511035,515,
primary,6,True,38,"[69, 70]",L5,0.4164153979903027,199.93969551767265,1895.4942273782908,73,
primary,6,True,41,"[71, 72]",L7,0.7646250807875237,276.46250807875236,355.5404260633065,4801,
primary,6,True,37,"[73, 74]",B_CenterX,0.3778242236253216,38.68617392263508,1675.2112920543937,4390,
primary,7,False,,[],,,,,,insufficient_new_samples
primary,7,False,,[],,,,,,insufficient_new_samples
primary,7,False,,[],,,,,,insufficient_new_samples
primary,7,False,,[],,,,,,insufficient_new_samples
primary,7,True,61,"[75, 76]",L7,0.8648143904934631,286.4814390493463,367.82952634547325,3752,
primary,7,True,62,"[77, 78]",B_Z_C2c,0.47721029781635715,-3.646352349382852,293.5959528078009,3562,
primary,7,True,59,"[79, 80]",B_Z_C1c,0.5393791474906048,14.176493096617719,579.2154061378374,4599,
primary,7,True,63,"[81, 82]",L7,0.7492064884016645,274.92064884016645,364.60409396187185,826,
primary,7,True,64,"[83, 84]",B_Z_C0,0.5189559864247961,-8.104401357520388,524.5110679153358,3668,
primary,7,True,67,"[85, 86]",B_Z_C1c,0.5364597270298562,13.125501730748255,419.2446338309544,6369,
primary,7,True,51,"[87, 88]",L3_C1c,0.5880124720655562,9.681371927211174,430.0749331125313,3672,
