sample,phase,wrist_x_mm,wrist_y_mm,wrist_z_mm,tip_x_mm,tip_y_mm,tip_z_mm,wrist_tip_length_mm
0,0.0,-204.8335081400101,93.39286456828708,18.45679454517001,-346.1172291047493,-240.37468612838848,-280.1213018456298,469.58571885445355
1,0.0027777777777777,-203.95504394470973,94.4184402509862,21.87447909046823,-346.53803737567773,-244.1565968846575,-270.57456175308954,469.5629960691695
2,0.0055555555555555,-203.04514914622376,95.42516708206122,25.285862700526444,-346.9707155132499,-247.86006121707103,-260.93336244048874,469.55378974381597
3,0.0083333333333333,-202.1043022191857,96.41248766305604,28.689357118419743,-347.4133677187211,-251.48269728554,-251.2015955881621,469.5580151948896
4,0.0111111111111111,-201.13302322237217,97.37985866187137,32.08338977763552,-347.8641228581763,-255.02216469577556,-241.3831840962551,469.5755196911567
5,0.0138888888888888,-200.13187335584325,98.3267512738208,35.46640493391766,-348.3211371479066,-258.47616671917325,-231.48207972197469,469.6060834908617
6,0.0166666666666666,-199.10145446672087,99.2526516679663,38.8368647750028,-348.78259679512644,-261.84245247706207,-221.50226070504627,469.64942123030664
7,0.0194444444444444,-198.0424085041494,100.15706141824924,42.1932505071356,-349.24672059069184,-265.11881908684313,-211.44772938352932,469.7051836548451
8,0.0222222222222222,-196.95541692404385,101.03949791895076,45.53406341727928,-349.71176245054613,-268.3031137675867,-201.32250980214425,469.7729596812498
9,0.025,-195.84120004429656,101.89949478403474,48.85782590996737,-350.17601390268345,-271.3932359026968,-191.13064531526769,469.8522787784317
10,0.0277777777777777,-194.700516351169,102.73660222994287,52.163082517773525,-350.63780651648875,-274.38713905730145,-180.8761961867551,469.9426136516229
11,0.0305555555555555,-193.53416175765892,103.55038744143332,55.44840088440929,-351.0955142713912,-277.2828329480768,-170.56323718874324,470.04338321341305
12,0.0333333333333333,-192.3429688146909,104.34043492007162,58.712372719492365,-351.54755586184064,-280.0783853632623,-160.19585520158384,470.1539558234404
13,0.0361111111111111,-191.12780587603532,105.10634681500451,61.95361472406316,-351.9923969357014,-282.7719240306845,-149.7781468170515,470.27365277712374
14,0.0388888888888888,-189.8895762179201,105.84774323566684,65.1707694859625,-352.42855226324093,-285.36163843165826,-139.31421594695846,470.40175202256006
15,0.0416666666666666,-188.629217114352,106.5642625460926,68.36250634422053,-352.85458783397934,-287.845781558701,-128.80817143929875,470.5374920836348
16,0.0444444444444444,-187.3476988692214,107.25556164052364,71.52752222164399,-353.2691228787578,-290.22267161505283,-118.26412470402887,470.6800761664828
