evaluation,stage,round,region_id,score,tip_mm,wrist_mm,combined_mm,p64_mm,stutter_penalty_mm
21151,feasibility_cma,-1,0,1160.5153186806706,1172.709705695364,712.7677820250814,970.3829050753782,1172.7097056953642,0.4380264623538088
21163,initial_pool_backtrack,-1,0,1157.7754113074018,1169.9229040751923,709.6344401169126,967.5486137863501,1169.9229040751925,0.4549013189729365
21178,initial_pool_backtrack,-1,0,1109.4566745517952,1121.127694995722,695.4805719640175,932.9042111776047,1121.127694995723,0.4057522944347915
21218,initial_pool_backtrack,-1,0,1105.2598048291516,1116.9934944565305,691.8665459380435,929.0731359926543,1116.9934944565312,0.29854955732106164
22156,initial_pool_backtrack,-1,0,1102.1834746186673,1113.7999485543926,699.8293174716728,930.1374626883478,1113.7999485543949,0.3813644146514824
22745,initial_pool_backtrack,-1,0,1101.0841912042217,1112.7436140205623,708.9793755791699,932.9657296868337,1112.7436140205675,0.3270367123719508
22757,initial_pool_backtrack,-1,0,1081.4889654591072,1092.9520291258818,691.7325321666149,914.614135586155,1092.9520291258852,0.3102011705839374
24355,initial_pool_backtrack,-1,0,1049.9772011404084,1061.0576945012472,675.8849082341147,889.5683897933143,1061.0576945012522,0.3492061247545702
27175,initial_pool_backtrack,-1,0,1016.7811729344157,1027.3847082395928,644.261634618513,857.4941377542682,1027.3847082395946,0.46343921668945376
32942,cmaes,0,0,1016.7811729344155,1027.3847082395926,644.2616346185129,857.494137754268,1027.3847082395944,0.463439216689452
32946,cmaes_backtrack,0,0,980.7556070870587,990.9787987466793,644.4614289247277,835.8736486267267,990.9787987466963,0.45161888551183466
32972,cmaes_backtrack,0,0,963.4586026627034,973.55148133099,637.5641452837983,822.8883661084367,973.5514813310161,0.39420504357059566
33013,cmaes_backtrack,0,0,919.8187152258436,929.2684472274362,621.152679571735,790.3703240733538,929.2684472275287,0.5603354511046712
33238,cmaes_backtrack,0,0,907.8461094743526,917.0090141253002,605.2465894531124,776.9263047521557,917.0090141253406,0.7151043501755854
33503,cmaes,0,0,858.3022134471912,867.1800260293317,556.2162764416646,728.4839544296301,867.1800260293378,0.463439216689452
33629,cmaes_backtrack,0,0,707.9162653344031,714.9129283977499,398.17770344624324,578.6389110282727,714.9129283977499,0.7043695688102496
33649,cmaes_backtrack,0,0,566.503441490909,572.2922547947363,356.5379009891306,476.779665956812,572.292254794737,0.37591131401096206
35788,cmaes,0,0,355.3038325691954,346.02041463447745,357.81856377129606,351.9689275512604,358.4375801330916,0.7273373200807951
39543,split_probe,0,0,354.0307643991333,342.2713564233532,356.779506255049,349.6006990206675,357.1577427004148,0.720320190756885
39545,split_probe,0,0,353.4665821087624,346.7997997690645,355.5898402003995,351.22231960227765,356.6112673736985,0.6967266020929943
39557,split_probe,0,0,352.6636654499285,351.21938869968193,352.5499378123543,351.885292140829,355.7563906652532,0.7394779310803022
39584,split_probe,0,0,352.4721428866259,346.82246875062873,354.33336001107494,350.59802826529057,355.5878059218867,0.7147241185129912
39731,split_probe,0,0,352.2138989217115,321.4942745346561,355.4916483194919,338.91951890048625,355.50056723349365,0.5427791079913572
39748,split_probe,0,0,352.03582872773603,347.98574376689186,353.3926440302879,350.69961414272666,355.1464844696976,0.7149775029519729
39840,split_probe,0,0,351.02670945600266,346.9408679304046,352.377617984116,349.66980960361883,354.113882202841,0.7273373200807974
39842,split_probe,0,0,347.5105973428151,348.5107223386861,344.251038155834,346.38742821904077,350.55948213906305,0.7273373200807974
40309,cmaes_backtrack,1,2,343.8817208800509,339.4026157251837,345.6580710867033,342.544623128489,347.12256432165356,0.498356241343583
40361,cmaes_backtrack,1,2,341.56972218550294,302.68405448340826,344.7984122436669,324.4253241689592,344.79970194272363,0.48419808282748505
40669,cmaes_backtrack,1,2,336.3590388144058,331.4000958040025,338.32671320486907,334.88131357759556,339.5762868798915,0.4406632164232484
40693,cmaes_backtrack,1,2,335.4772471057357,315.69182140683796,338.27611877419,327.1788949765073,338.33921809564674,0.7826146033759648
41361,cmaes_backtrack,1,2,332.06324218372316,328.494400085333,333.2967956190727,330.90431007873315,335.03494776086205,0.6372864596982173
41672,cmaes_backtrack,1,2,312.0357820627281,274.31882094157555,314.9422431434532,295.32984275129235,314.9429569820653,0.48538645792391716
42600,cmaes_backtrack,1,2,310.01568682962727,303.3504996743759,312.1216073868143,307.76730126056447,312.85191143065293,0.5338120611448746
45785,cmaes,1,2,301.9529196962313,303.6334553343012,296.78476702608873,300.2286404866938,304.6257340227899,0.6086100611103885
48143,cmaes,1,2,296.59439442826084,297.47483265888786,293.97576215011196,295.73047255666137,299.2675963975148,0.5505046306107626
56126,split_probe,1,2,294.9803014579536,293.71391834503504,295.0551433999985,294.3852947043955,297.63864375221885,0.5478172491966644
56134,split_probe,1,2,294.36236020719514,293.976594838151,293.6383554387921,293.807523812302,297.0099279272561,0.551819304829686
56147,split_probe,1,2,293.5393514285867,289.9114822898247,294.81808194561734,292.37507503682326,296.1748981586241,0.5548453652029253
56183,split_probe,1,2,292.42346719154784,288.3226464114793,293.8401759025132,291.0944841526019,295.03747461172986,0.5641323636182609
56214,split_probe,1,2,291.92773185438756,286.33819195156735,293.71021707151544,290.04762693589595,294.53484115890274,0.5656161183630196
56295,split_probe,1,2,291.74418060714845,285.2770406199253,293.7490617014368,289.5440390988364,294.4058916090681,0.5096253781091361
56313,split_probe,1,2,290.1118384911909,278.23968048911286,292.6299500268919,285.5254869984682,292.8078661145548,0.45809484712225373
57198,cmaes_backtrack,2,3,289.3826956487704,281.0203850640843,291.6544806936867,286.38679520036385,292.0592435037668,0.4695104626036577
57248,cmaes_backtrack,2,3,289.3575202290018,290.3368350841267,286.8209551397074,288.5842494956381,292.0540778390963,0.44944506303387277
57276,cmaes_backtrack,2,3,285.71332351540065,286.0849752518274,284.21189447359814,285.1499728433359,288.35073873909084,0.46869512951465964
57639,cmaes_backtrack,2,3,284.655873531803,278.2141582034897,286.6657182398762,282.47154886719164,287.28189123471975,0.4685790390733771
