phase_index,target_tip_x,target_tip_y,target_tip_z,generated_tip_x,generated_tip_y,generated_tip_z,target_wrist_x,target_wrist_y,target_wrist_z,generated_wrist_x,generated_wrist_y,generated_wrist_z
0,-344.13604649057294,-218.74906784487604,-329.778012834647,-391.6997778917811,-245.1587107877395,-322.7609452304772,-209.0097303298715,87.56669544590048,-1.0302869668521453e-13,-226.81829278477977,35.76790543123767,-25.851475196154276
1,-345.4319031046994,-233.72050880266363,-296.2171716614067,-400.18761950571593,-259.9551153068788,-289.6978200871852,-206.25929313207521,91.59399649961449,12.598085623220689,-226.52327499523278,36.53566131987807,-14.618597973443265
2,-346.9218619228925,-247.44190389945373,-262.02194806770444,-407.7971218091559,-272.7314254158317,-255.67943217780913,-203.1478851615051,95.31149778394723,24.900684151009813,-225.96478151783862,37.803974553217046,-3.265542177344809
3,-348.51699602933553,-259.9049307878899,-227.24631132641676,-414.4777081494215,-283.74301113649625,-220.9177262380056,-199.69452917582083,98.71973431492643,36.89694062290651,-225.12446551651112,39.46792832146671,8.168155183971841
4,-350.1383234592926,-271.1423630774898,-191.95807598828154,-420.24672153574545,-293.2047616380294,-185.55700824694932,-195.93165819588202,101.82967558797081,48.587984897088496,-224.0060365425142,41.45526463295921,19.656972054064344
5,-351.7184953573769,-281.11343398640406,-156.19263265641726,-424.3728035692897,-300.38141704676536,-149.47863600245637,-191.87601701564643,104.63475260033604,59.95788781629659,-222.38204953811442,43.84997978421561,31.165726436613202
6,-353.20067825752557,-289.8302190548488,-120.00507108272603,-427.276542964736,-306.1434537706432,-113.08076371735689,-187.5592926343203,107.14142001300026,71.00494080023512,-220.3832231799871,46.450636093715964,42.62956091862847
7,-354.5314574358843,-297.2408598258392,-83.42989664015195,-429.1551951148271,-310.75816312380084,-76.44887507633746,-183.0026900043129,109.34120454559127,81.71151961883217,-218.0715577004617,49.21015430073668,54.044014825028825
8,-355.6669810758928,-303.31959930560566,-46.512656803763385,-429.13092208352833,-313.4625680723523,-39.57350277429217,-178.235940517702,111.23213291223696,92.06698385742868,-215.18765379924787,52.186650946246644,65.30089671065828
9,-356.566689482519,-308.01441559302816,-9.295811024919121,-427.7629755737162,-314.94597065604216,-2.6745178219832617,-173.28823766252202,112.80646691214687,102.05380938608081,-211.91427150681736,55.26305223065764,76.38618527571046
10,-357.1951249539423,-311.2640083456463,28.174514289303254,-425.320037347931,-315.46104483444685,34.22596222693586,-168.19217597144112,114.05476326115935,111.65179581408037,-208.33198248387663,58.41381747559332,87.32626406821052
