call,round,region_id,evaluation_start,evaluation_end,evaluation_cost,before_score,after_score,before_tip_mm,before_wrist_mm,before_combined_mm,before_p64_mm,after_tip_mm,after_wrist_mm,after_combined_mm,after_p64_mm,gain_mm,accepted,cumulative_accepted_gain_mm,status
1,5,31,314286,319275,4989,120.53761151933598,75.87976383183515,120.44912942796964,119.84437496116364,120.14713269526611,121.47919394758756,75.65372305946087,75.30963378877921,75.48187449367443,76.31606324158119,44.65784768750083,True,44.65784768750083,completed
2,6,51,403415,407160,3745,77.93707930016207,65.05967556922792,78.33858273629617,75.0369066306648,76.70551121604831,78.41404080787878,64.79656850720745,64.58318130055835,64.68996288919178,65.39989460461945,12.877403730934148,True,57.53525141843498,completed
3,7,62,479386,481733,2347,63.830651051182464,59.869930458285594,63.974551040671116,62.47902110795664,63.2312077200172,64.17367499398742,59.504535631082575,59.541812389073876,59.52317692817835,60.17152470844497,3.9607205928968696,True,61.49597201133185,completed
4,8,75,554954,557411,2457,60.815464400984695,56.62582604384359,60.831778190212944,59.820828095404416,60.328420797345565,61.11211945029137,56.34572744329068,56.22065998236671,56.28322845202863,56.89828806461135,4.189638357141106,True,65.68561036847296,completed
5,9,85,610634,614192,3558,57.0908629635376,54.33542699791552,55.78944250703407,57.199047994392174,56.49864151778536,57.36410018216464,54.03553857724259,53.94678912450235,53.991182086412024,54.58024989675553,2.755435965622084,True,68.44104633409505,completed
6,10,107,688862,691072,2210,54.70106712806483,52.58878480776435,53.800455586752314,54.66945253735744,54.23669450693177,54.93187183956605,52.038861363498185,52.398057502854066,52.218768283452384,52.806595133312506,2.11228232030048,True,70.55332865439553,completed
7,11,109,738930,741543,2613,52.99777017158471,51.65124219657368,52.36208413585326,52.847279033435555,52.60524097600909,53.212633138716896,51.15647070186625,51.4281168749338,51.292473619297944,51.86222901875194,1.3465279750110284,True,71.89985662940656,completed
8,12,131,794621,795576,955,51.58058550146334,50.614366827261,51.206831453292416,51.26722321276505,51.23703623080365,51.79552851085408,50.244874457608105,50.292108775429206,50.26849716442895,50.816232872698876,0.966218674202338,True,72.8660753036089,completed
9,13,136,838322,840529,2207,50.62607469036606,50.055967879044616,49.1985365775133,50.728432699070424,49.96934002702573,50.83300867999825,49.67597341641643,49.76957423478846,49.722795850498144,50.26562117087742,0.5701068113214447,True,73.43618211493035,completed
10,14,160,887871,888477,606,49.324069479404926,49.06082853261008,48.704467984210325,49.19090959814809,48.94829306890153,49.51855181899378,48.44502939430943,48.92618902356593,48.686203617581484,49.25300671154488,0.2632409467948449,True,73.69942306172518,completed
11,15,163,931194,933668,2474,47.720983396145925,47.21203457762331,46.00214202088694,47.84226256081352,46.931221790230815,47.90069695063953,46.662869665324024,47.046695009442125,46.855175363637706,47.38974860100705,0.5089488185226188,True,74.2083718802478,completed
12,16,181,977694,978555,861,46.28290827957308,45.901886203215675,45.73182152719403,46.14237543227943,45.93755713318108,46.466144064213296,45.34507905916858,45.77776906306127,45.56193770722015,46.089780190766554,0.3810220763574037,True,74.58939395660519,completed
13,17,188,1021070,1022115,1045,47.23530203435326,47.0305725781294,46.580167527539004,47.13514333834312,46.858477058157526,47.419031198215364,46.63938335669583,46.76168234137322,46.70057288346864,47.211614990757376,0.20472945622385907,True,74.79412341282905,completed
14,18,208,1072735,1074046,1311,46.176480840060734,45.812605455199936,45.97762911115726,45.71958748530808,45.8487898341378,46.35936677047153,45.42783052714538,45.55794661256254,45.49293508862744,45.99123215085759,0.3638753848607976,True,75.15799879768986,completed
15,19,216,1121881,1122552,671,47.667835903177355,47.38422996053676,47.5132699770189,47.1697106376789,47.34180195953383,47.87667884308825,46.924572738877046,47.19928784879639,47.062130743091636,47.587094001677634,0.28360594264059813,True,75.44160474033046,completed
16,20,231,1169036,1171254,2218,48.980563386141036,48.37059124430139,48.91203302073188,47.70971603959057,48.31461465643461,49.053703929691764,47.950143684024795,47.898444973334044,47.92430129997793,48.446599565345785,0.6099721418396484,True,76.05157688217011,completed
17,21,240,1276401,1278688,2287,49.524359597914156,47.895510069703704,49.2577238331943,49.13626206355555,49.197030432769246,49.735097851440486,47.17680865687485,47.825243535794264,47.50213255373601,48.086628582555065,1.628849528210452,True,77.68042641038056,completed
18,22,254,1347239,1351033,3794,49.73260821568962,48.96260699004411,49.36291345444238,49.419372220356294,49.391150904614946,49.929490775518,48.58300487524871,48.66997985990192,48.626511813370385,49.15723790822864,0.7700012256455153,True,78.45042763602608,completed
19,23,263,1456828,1456991,163,55.61655809239327,55.47966646040006,54.89956602883921,55.537060261285,55.21923311954123,55.87691519905303,54.842174041215856,55.35888449657178,55.101134953246586,55.73854768084474,0.1368916319932083,True,78.58731926801929,completed
20,24,284,1539659,1543561,3902,54.52576180683055,52.3025552568774,53.88258046271546,54.15955208892076,54.02124378331883,54.62057193862145,52.16626104336458,51.67267412481259,51.92005413351152,52.52163088630761,2.2232065499531544,True,80.81052581797243,completed
