phase_index,phase_equal_arc,wrist_x_mm,wrist_y_mm,wrist_z_mm,tip_x_mm,tip_y_mm,tip_z_mm
0,0,-209.0097303298715,87.566695445900493,-9.5923269327613525e-14,-344.13604649057294,-218.74906784487607,-329.77801283464692
1,0.013157894736842105,-206.25929313207524,91.593996499614477,12.598085623220687,-345.43190310469947,-233.72050880266363,-296.21717166140667
2,0.026315789473684209,-203.14788516150514,95.311497783947217,24.900684151009809,-346.92186192289256,-247.44190389945373,-262.02194806770439
3,0.039473684210526314,-199.69452917582089,98.719734314926413,36.896940622906506,-348.51699602933559,-259.9049307878899,-227.24631132641673
4,0.052631578947368418,-195.93165819588205,101.82967558797081,48.587984897088496,-350.13832345929262,-271.14236307748985,-191.95807598828151
5,0.065789473684210523,-191.87601701564651,104.63475260033603,59.957887816296576,-351.71849535737687,-281.11343398640406,-156.1926326564172
6,0.078947368421052627,-187.55929263432029,107.14142001300027,71.00494080023509,-353.20067825752562,-289.83021905484884,-120.00507108272599
7,0.092105263157894732,-183.00269000431291,109.34120454559127,81.71151961883217,-354.53145743588425,-297.24085982583921,-83.429896640151938
8,0.10526315789473684,-178.23594051770201,111.23213291223698,92.066983857428681,-355.66698107589286,-303.31959930560572,-46.512656803763363
9,0.11842105263157894,-173.28823766252202,112.80646691214689,102.05380938608079,-356.566689482519,-308.01441559302816,-9.2958110249191197
10,0.13157894736842105,-168.19217597144115,114.05476326115935,111.65179581408034,-357.1951249539423,-311.26400834564635,28.174514289303239
11,0.14473684210526316,-162.98545230220367,114.96754535039624,120.83974780687407,-357.52356523799614,-313.00484865807613,65.845429909555151
12,0.15789473684210525,-157.71025208490963,115.53405050702013,129.59390860909787,-357.52996551287242,-313.16578354115057,103.65789469286331
13,0.17105263157894737,-152.41517856372164,115.735458337724,137.87863691827701,-357.19336224135628,-311.63569728073713,141.54434300718549
14,0.18421052631578946,-147.1569417104063,115.56228939798517,145.6685124219571,-356.51197626800615,-308.34394790985073,179.42356469156394
15,0.19736842105263158,-142.0012174818082,114.99584869242933,152.92392585166479,-355.48795893209069,-303.17378319532509,217.20110687441397
16,0.21052631578947367,-137.02616300324644,114.01635637738629,159.60064804917914,-354.13866222417863,-295.99894389906297,254.76219052597048
17,0.22368421052631579,-132.32421955861449,112.60351620714064,165.64987815602987,-352.50168822349013,-286.68600142406763,291.9675489955855
18,0.23684210526315788,-128.00369835784457,110.7372243112483,171.01837183505722,-350.64084545011946,-275.09762392011316,328.64883889781601
19,0.25,-124.19000747533185,108.398439884344,175.64862704368815,-348.65293566469148,-261.09699201304181,364.60346104751108
20,0.26315789473684209,-121.04906397344837,105.55594375244253,179.4545945718225,-346.68025282176222,-244.47812512879935,399.55337972201704
21,0.27631578947368424,-118.75600757975042,102.19554196447368,182.36529953641593,-344.92742060426588,-225.11711181745309,433.18055517236053
22,0.28947368421052633,-117.53323712819336,98.296659255712171,184.2809845962785,-343.682191356533,-202.85168041464993,465.05153001236016
23,0.30263157894736842,-117.63930368473191,93.848335680955202,185.08955101511273,-343.34453070466844,-177.56711867080716,494.59999040814296
24,0.31578947368421051,-119.36530018561443,88.857057934467278,184.66533661101963,-344.45627818222999,-149.2451094599131,521.07532038207853
25,0.32894736842105265,-123.01521927325815,83.363123394304736,182.8740289371639,-347.72840283781386,-118.06544513680348,543.47543611457286
26,0.34210526315789475,-128.79694134968264,77.475566314400282,179.62632490665899,-353.9514632672936,-84.623481873506108,560.63225634811727
27,0.35526315789473684,-136.73521093682493,71.389328614107384,174.90148121315673,-363.88327556675006,-50.055371082993091,571.25919662943272
28,0.36842105263157893,-146.47155084797689,65.385721721772342,168.84903532438994,-377.84239314304716,-16.064034998810666,574.50865512505334
29,0.38157894736842107,-157.30242242447784,59.747084595953872,161.76759960481223,-395.48301907740193,15.579481638924035,570.37374321430332
30,0.39473684210526316,-168.41950044413829,54.652982413758487,153.99966958000459,-415.90833735033897,43.679689872666586,559.71973411242527
31,0.40789473684210525,-179.171786895613,50.151632929312704,145.81063422725862,-438.07864800004296,67.823966782178303,543.77910382148627
32,0.42105263157894735,-189.15609413873514,46.195698202676873,137.35739777461211,-461.08621419975344,88.198782064430631,523.74871825710102
33,0.43421052631578949,-198.16300919243903,42.703689212575206,128.7090390097689,-484.25137435578603,105.22281534015912,500.53984825819737
34,0.44736842105263158,-206.1014772680393,39.590147093578906,119.8848460122592,-507.07437564494154,119.36282507322032,474.80537705941401
35,0.46052631578947367,-212.95513193072918,36.776347822262288,110.88161753594046,-529.18610981163738,131.06998342787961,447.01984992119259
36,0.47368421052631576,-218.73180012895617,34.19941521948568,101.6856017264147,-550.29211790465126,140.70994223913732,417.50377006718054
37,0.48684210526315791,-223.46848409482308,31.806352916874392,92.284317348718758,-570.15905394320896,148.60871633086981,386.50974371247224
38,0.5,-227.21213284470247,29.555680200511329,82.669127109683217,-588.59082441998407,155.03495760441419,354.2338256649432
