phase_index,phase_fraction,generated_tip_x_mm,generated_tip_y_mm,generated_tip_z_mm,target_tip_x_mm,target_tip_y_mm,target_tip_z_mm,tip_error_mm,generated_wrist_x_mm,generated_wrist_y_mm,generated_wrist_z_mm,target_wrist_x_mm,target_wrist_y_mm,target_wrist_z_mm,wrist_error_mm,L6_mm
0,0.0,-574.2510242439835,-338.67633725255473,-285.71294797458575,-574.2510242439835,-338.67633725255473,-285.71294797458575,53.5417376604616,-342.961326937742,-69.47962535519501,-7.408712368359759e-14,-342.961326937742,-69.47962535519501,-7.408712368359759e-14,46.0670512556972,246.68770758322
1,0.013157894736842105,-586.5921134870856,-350.9495895928805,-246.6589247934313,-585.1983266123448,-349.563464131395,-251.06963634761138,59.37826176338187,-342.0302212996417,-68.69558852346508,13.73092574421472,-342.13537918253337,-68.78413664299103,12.180172508148084,49.900922951721945,246.71954366052464
2,0.02631578947368421,-597.8944624172996,-361.53752376881505,-203.79744048766872,-594.7821171778977,-358.6219080210586,-215.60027346127552,64.08677465640122,-340.34260799279923,-67.34402842455215,28.6188888135444,-340.8073286693536,-67.71620961145324,24.519167483993996,53.006964220524914,246.7430301948934
3,0.039473684210526314,-607.5549028457268,-370.2290932986863,-157.50586937718958,-602.9667973128223,-366.1011408988889,-179.49147294385904,67.74507837440531,-337.740510380503,-65.49711266323911,44.46907063620958,-338.97634414404473,-66.37428223807062,36.94122473136706,55.453034396954926,246.7566580988115
4,0.05263157894736842,-614.9832801475701,-376.9172711997316,-108.32833448695173,-609.7631376064872,-372.21728887991685,-142.8868566937349,70.43377649348805,-334.09754575631393,-63.264601352447485,61.00737595813826,-336.6575657765235,-64.83345371324775,49.38541497522027,57.31190986496168,246.75952485562172
5,0.06578947368421052,-619.6609146482723,-381.58064436634277,-56.96247022492997,-615.2053312295396,-377.138645284671,-105.88995548705925,72.25412499906164,-329.344970716312,-60.77617444891787,77.89281423971487,-333.8719371865089,-63.14647372057543,61.80894133042032,58.63159153054275,246.75137156258515
6,0.07894736842105263,-621.1966860656312,-384.2621219912583,-4.230416463220138,-618.6109009629362,-380.53383199910115,-68.49284106218647,72.5641437633954,-323.49206759264484,-58.164729846885734,94.74236714122651,-330.41180670613545,-61.33476497224168,74.10244941409785,59.301939351700184,246.73258183749968
7,0.09210526315789473,-619.3725703912905,-385.04970580983286,48.96441362313173,-620.419352226373,-382.9048866152769,-30.920853164440096,71.8591359860151,-316.6352844089996,-55.553529141164006,111.1650093555301,-326.4545264615244,-59.48651786531283,86.2139315298639,59.49439508118184,246.7041432490729
8,0.10526315789473684,-614.1731046921141,-384.0616337889958,101.69141845922618,-620.8201016498551,-384.42471682905546,6.75153182666479,70.337349551036,-308.9533200861656,-53.04839919933488,126.7983708705837,-322.0765007370781,-57.62565356676233,98.13278322654898,59.26425217335892,246.66757416776403
9,0.11842105263157894,-605.7954835624396,-381.4358084072916,153.05295227801446,-619.5263951136982,-384.98329014115063,44.47857970006379,67.74123824503954,-300.68922753356225,-50.734743760940034,141.34037962578688,-317.2135058368787,-55.77372747033718,109.7801145183487,58.5704989692077,246.62482097756953
10,0.13157894736842105,-594.638821543717,-377.3218978821622,202.2443606630232,-616.1030150164501,-384.4283811635391,82.12048619581876,63.676602131531325,-292.1240745295874,-48.67823756550112,154.5697071794227,-311.80467118944654,-53.97824015189757,120.99566198902347,57.39282443214001,246.57813231718427
11,0.14473684210526316,-581.2734292795245,-371.8739122761142,248.60686110498565,-611.2479806906598,-383.1448025395562,119.62477364434915,58.8023528466198,-283.54840099935666,-46.9277825103799,166.3522619560024,-306.06783563876866,-52.24056497656585,131.8758478990604,55.84423107424578,246.5299183277706
12,0.15789473684210525,-566.393938372566,-365.24116966563713,291.6667496769976,-604.911878733133,-381.109987727124,156.94889946512512,53.0662058187501,-275.23719646323315,-45.51942530968097,176.63477026429143,-300.01086956723134,-50.57186898685982,142.3881390448008,53.90991033232405,246.4826036968256
13,0.17105263157894737,-550.7629341873674,-357.55603544167997,331.1566959733506,-596.5303997833026,-378.0193989461792,193.90410642573394,45.959021693937906,-267.43200992658643,-44.48025431228936,185.4291796613338,-293.57627026822786,-49.02691195953917,152.32671477875533,51.553502669721674,246.43848355657965
14,0.18421052631578946,-535.1533747039718,-348.9172064285347,367.0183572487677,-586.5087858311148,-374.0079422074322,230.44621040061207,37.841287249951904,-260.3312507546948,-43.83164379444261,192.79256866272803,-286.9075772744202,-47.613453096019605,161.73691852838732,48.840691004621895,246.39959100761803
15,0.19736842105263158,-520.297922310576,-339.36714595213215,399.3891221456723,-575.0694755396887,-369.10841253012535,266.5605369675324,28.90921029860382,-254.0877233707607,-43.59150498810004,198.80670675465439,-280.08307219295847,-46.34057270750858,170.63951924679245,45.784145040690184,246.36758421476446
16,0.21052631578947367,-506.8513747066711,-328.86122138978885,428.57828668994046,-562.2332830372111,-363.1955432725418,302.1781700441155,19.191969179588455,-248.8113803317489,-43.775405647468574,203.56009408889335,-273.15961458670273,-45.24281912984655,178.97566314267405,42.39580192421784,246.3436597162383
17,0.2236842105263158,-495.3690063427445,-317.2241763766589,455.0381190406097,-548.1144565035256,-356.09028326076947,337.24135260280036,8.914539577536992,-244.57508542113771,-44.39654841476815,207.1339035764625,-266.2272224228075,-44.370204410890835,186.67852763097912,38.71523402030648,246.32849688166525
18,0.23684210526315788,-486.2993130264724,-304.08740493574385,479.3316296497241,-532.9884709053814,-347.5254640800268,371.73578961183347,3.589097131450278,-241.42151537349682,-45.46468946564033,209.5921486110132,-259.4213736407476,-43.79664806356395,193.66901658606744,34.8231470610474,246.32223645688953
19,0.25,-479.984559618852,-288.8000157619346,502.08928441435387,-517.3828608593283,-337.0895787576718,405.7170072551864,13.538811140501931,-239.3698591165751,-46.98417240316053,210.97572174809252,-252.94387108617013,-43.631372598640354,199.83718807886174,30.85912375337454,246.324493968543
20,0.2631578947368421,-476.6560512204383,-270.3136802040229,523.9277744036946,-502.20342342719823,-324.1506585038265,439.28897003775063,23.275648593330537,-238.42147431862304,-48.95137044304914,211.29963705013725,-247.09656926438592,-44.02683821159667,205.00673748630643,27.010301194123308,246.33440656369655
21,0.27631578947368424,-476.4025652680024,-247.07214932804953,545.2717040652385,-488.8692093505277,-307.80970727372835,472.44806683941925,30.660124428897554,-238.5640329881211,-51.35196246328442,210.5527487128602,-242.31507900243926,-45.162031849281455,208.8956052266206,23.532454718715627,246.35070976599337
22,0.2894736842105263,-479.085159689709,-217.02805544023562,565.9851621064536,-479.6103773059394,-286.7218296892677,504.544311025861,33.43527011780927,-239.7739173365268,-54.15857201036306,208.69930995675261,-239.26324414832146,-47.205319723345596,211.01213546931513,20.718076889816377,246.37183876896677
23,0.3026315789473684,-484.1989383254861,-178.1002238930915,584.7665706146165,-476.54227947975113,-259.882216848426,533.5075400962808,29.67977495088607,-242.0167471694605,-57.32931593329593,205.68191422687528,-238.48545872416102,-50.02882475638399,210.96441221651483,18.681398036279955,246.3960473745556
24,0.3157894736842105,-490.8101774768916,-129.52880777581845,598.6126767387518,-478.03716360268066,-228.76523515624737,557.8931364165585,22.13122719256592,-245.24598582111022,-60.80770402329537,201.42559468099324,-239.30125771544277,-53.062127538789305,209.42338384143315,16.6642438165563,246.42153661310405
25,0.32894736842105265,-497.89969815924024,-73.95411159740613,603.3741769114444,-482.0608973682854,-194.37572272687223,576.9141734960878,14.252295963320472,-249.399649618177,-64.52411229158389,195.84313415404446,-241.07903312581865,-56.00364643235253,206.9434697446338,13.992682834967342,246.4465845158194
26,0.34210526315789475,-505.23180060858454,-18.10281954123495,596.1901619164558,-486.9727267619722,-157.72176997780656,590.5757946009127,9.838584840366222,-254.39530943725768,-68.39877621251048,188.84193458907683,-243.37159527364616,-58.788696306731694,203.89614764545502,10.49886328504817,246.4696684856937
27,0.35526315789473684,-513.8977225371868,30.22736668565397,577.8135023464345,-492.06550558572906,-119.68830072622913,599.4557866293678,8.729300889976367,-260.1238937581209,-72.3459920531754,180.33305287867242,-245.98146726657671,-61.4657614537101,200.4371188827066,8.075607077583374,246.4895722286363
28,0.3684210526315789,-525.6267654804799,66.47620927356743,551.7069993433743,-497.04140612971923,-80.6822559826457,602.7977264248889,6.150038268622112,-266.44332692783405,-76.27903506527156,170.24310600336506,-248.89678677454236,-64.07418573970008,196.5189741141881,11.317765885056268,246.50547022980925
29,0.3815789473684211,-541.6223107540981,90.44328918245775,521.1305805470009,-502.09996114340754,-41.95918023056012,599.2587472008499,2.966466184149761,-273.1737358424222,-80.11522796232316,158.52949094895257,-252.2614597421549,-66.7437495041834,191.83243196041488,18.34612998031809,246.51698422621521
30,0.39473684210526316,-562.0677814671117,104.52116939798678,487.55024300902295,-507.7008641576634,-4.332755361548825,590.9543496541258,11.536499508961512,-280.09665714639345,-83.78061267444195,145.19854285942696,-256.027477237868,-69.52340286306516,186.41761437852406,26.035876608754744,246.52420794329853
